Unnamed: 0,카페이름,유사한 스타일,유사도
47,카페크라비 성수,"['걸리시', '미니멀', '캐주얼', '로맨틱', '레트로', '시티보이', '스포티', '워크웨어', '스트릿', '고프코어', '시크', '클래식']","[0.20100756305184242, 0.19245008972987526, 0.1781741612749496, 0.10540925533894598, 0.09622504486493763, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
48,크레송 성수,"['미니멀', '로맨틱', '시티보이', '걸리시', '레트로', '캐주얼', '스포티', '워크웨어', '스트릿', '고프코어', '시크', '클래식']","[0.25819888974716115, 0.1414213562373095, 0.13483997249264842, 0.13483997249264842, 0.12909944487358058, 0.11952286093343936, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
49,쇼콜라쏭즈,"['걸리시', '캐주얼', '워크웨어', '스트릿', '시티보이', '레트로', '클래식', '미니멀', '로맨틱', '스포티', '고프코어', '시크']","[0.2461829819586655, 0.21821789023599242, 0.13608276348795434, 0.12909944487358058, 0.12309149097933275, 0.11785113019775795, 0.11785113019775795, 0.11785113019775795, 0.0, 0.0, 0.0, 0.0]"
50,피어커피,"['캐주얼', '시티보이', '워크웨어', '고프코어', '로맨틱', '걸리시', '클래식', '미니멀', '스포티', '레트로', '스트릿', '시크']","[0.25928148942086576, 0.2193817272381392, 0.16169041669088863, 0.16169041669088863, 0.1533929977694741, 0.14625448482542613, 0.140028008402801, 0.140028008402801, 0.08084520834544431, 0.0700140042014005, 0.0, 0.0]"
51,라에비뉴,"['미니멀', '워크웨어', '로맨틱', '시티보이', '걸리시', '레트로', '클래식', '캐주얼', '스포티', '스트릿', '고프코어', '시크']","[0.3273268353539886, 0.1259881576697424, 0.11952286093343936, 0.11396057645963795, 0.11396057645963795, 0.1091089451179962, 0.1091089451179962, 0.10101525445522107, 0.0, 0.0, 0.0, 0.0]"
52,아이오쓰리 에이스하이엔드점,"['걸리시', '미니멀', '시크', '레트로', '스트릿', '캐주얼', '시티보이', '로맨틱', '스포티', '워크웨어', '고프코어', '클래식']","[0.36927447293799825, 0.35355339059327384, 0.2461829819586655, 0.2357022603955159, 0.12909944487358058, 0.10910894511799621, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
53,모센즈스위트 성수점,"['로맨틱', '걸리시', '레트로', '미니멀', '시티보이', '스포티', '워크웨어', '스트릿', '고프코어', '시크', '클래식', '캐주얼']","[0.4472135954999579, 0.10660035817780521, 0.10206207261596575, 0.10206207261596575, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
54,하루앤원데이,"['미니멀', '레트로', '시티보이', '캐주얼', '스트릿', '클래식', '워크웨어', '시크', '걸리시', '로맨틱', '스포티', '고프코어']","[0.4166666666666668, 0.3333333333333334, 0.2611164839335468, 0.2314550249431379, 0.1825741858350554, 0.1666666666666667, 0.09622504486493763, 0.08703882797784893, 0.08703882797784893, 0.0, 0.0, 0.0]"
55,카페 스트랏,"['미니멀', '캐주얼', '시크', '시티보이', '걸리시', '레트로', '스포티', '워크웨어', '스트릿', '클래식', '로맨틱', '고프코어']","[0.36514837167011077, 0.33806170189140666, 0.2860387767736777, 0.19069251784911848, 0.19069251784911848, 0.1825741858350554, 0.10540925533894598, 0.10540925533894598, 0.1, 0.0912870929175277, 0.0, 0.0]"
56,기와르,"['로맨틱', '클래식', '캐주얼', '시티보이', '걸리시', '미니멀', '스포티', '워크웨어', '고프코어', '시크', '레트로', '스트릿']","[0.2631174057921088, 0.24019223070763074, 0.22237479499833038, 0.16724840200141816, 0.16724840200141816, 0.16012815380508716, 0.09245003270420485, 0.09245003270420485, 0.09245003270420485, 0.08362420100070908, 0.08006407690254358, 0.0]"
