상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220813377328,반디자인,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200690,성수2가3동,1120011500,성수동2가,1.12E+18,1,대지,273,52,서울특별시 성동구 성수동2가 273-52,1.12E+11,서울특별시 성동구 아차산로,126,,1.12E+24,더리브세종타워,서울특별시 성동구 아차산로 126,133831,4783,,,,127.0580396,37.54349258
MA010120220813262999,뿐또블루,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200690,성수2가3동,1120011500,성수동2가,1.12E+18,1,대지,19,7,서울특별시 성동구 성수동2가 19-7,1.12E+11,서울특별시 성동구 성수이로22길,61,,1.12E+24,,서울특별시 성동구 성수이로22길 61,133831,4798,,1,,127.0638944,37.54314268
MA010120220813396182,아쿠아산타성수카페,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200690,성수2가3동,1120011500,성수동2가,1.12E+18,1,대지,271,24,서울특별시 성동구 성수동2가 271-24,1.12E+11,서울특별시 성동구 연무장길,81,,1.12E+24,남경빌딩,서울특별시 성동구 연무장길 81,133831,4783,,1,,127.0582551,37.54165616
MA010120220813905617,어페어커피,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200670,성수2가1동,1120011500,성수동2가,1.12E+18,1,대지,559,4,서울특별시 성동구 성수동2가 559-4,1.12E+11,서울특별시 성동구 성수이로6길,11,,1.12E+24,,서울특별시 성동구 성수이로6길 11,133828,4776,,1,,127.0550249,37.53668358
MA010120220813832434,진혁,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200690,성수2가3동,1120011500,성수동2가,1.12E+18,1,대지,315,74,서울특별시 성동구 성수동2가 315-74,1.12E+11,서울특별시 성동구 성수일로6길,47,,1.12E+24,현성빌딩,서울특별시 성동구 성수일로6길 47,133835,4782,,1,,127.0552231,37.54429003
MA010120220813832725,뚝도청춘상인회협동조합,,I2,음식,I212,비알코올 ,I21201,카페,I56229,기타 비알코올 음료점업,11,서울특별시,11200,성동구,11200670,성수2가1동,1120011500,성수동2가,1.12E+18,1,대지,335,111,서울특별시 성동구 성수동2가 335-111,1.12E+11,서울특별시 성동구 성덕정15길,4,4,1.12E+24,,서울특별시 성동구 성덕정15길 4-4,133828,4775,,,,127.0538434,37.53795361
MA010120220813994310,앙골로에스프레소,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200670,성수2가1동,1120011500,성수동2가,1.12E+18,1,대지,328,7,서울특별시 성동구 성수동2가 328-7,1.12E+11,서울특별시 성동구 뚝섬로11길,19,1,1.12E+24,,서울특별시 성동구 뚝섬로11길 19-1,133827,4784,,1,,127.0563078,37.53993762
MA010120220813948186,커피식구성수센터,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200690,성수2가3동,1120011500,성수동2가,1.12E+18,1,대지,278,35,서울특별시 성동구 성수동2가 278-35,1.12E+11,서울특별시 성동구 아차산로13길,31,,1.12E+24,,서울특별시 성동구 아차산로13길 31,133832,4796,,1,,127.0614843,37.54583571
MA010120220813942954,카페페를,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200690,성수2가3동,1120011500,성수동2가,1.12E+18,1,대지,299,220,서울특별시 성동구 성수동2가 299-220,1.12E+11,서울특별시 성동구 광나루로2길,34,,1.12E+24,보성빌딩,서울특별시 성동구 광나루로2길 34,133833,4792,,1,,127.0548569,37.54819766
MA010120220814110828,창창커피,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200670,성수2가1동,1120011500,성수동2가,1.12E+18,1,대지,321,21,서울특별시 성동구 성수동2가 321-21,1.12E+11,서울특별시 성동구 성수일로4가길,2,,1.12E+24,,서울특별시 성동구 성수일로4가길 2,133827,4781,,1,,127.0539611,37.54207236
